Id,Label,timeset,modularity_class
0,0,,0
1,1,,0
9,9,,0
21,21,,0
22,22,,0
45,45,,0
49,49,,0
54,54,,0
68,68,,0
83,83,,0
87,87,,0
88,88,,0
89,89,,0
91,91,,0
93,93,,0
94,94,,0
96,96,,0
98,98,,0
99,99,,0
100,100,,0
101,101,,0
104,104,,0
106,106,,0
107,107,,0
109,109,,0
110,110,,0
117,117,,0
122,122,,0
124,124,,0
128,128,,0
132,132,,0
134,134,,0
138,138,,0
142,142,,0
145,145,,0
146,146,,0
153,153,,0
155,155,,0
163,163,,0
179,179,,0
180,180,,0
185,185,,0
194,194,,0
197,197,,0
200,200,,0
217,217,,0
218,218,,0
221,221,,0
223,223,,0
225,225,,0
228,228,,0
233,233,,0
234,234,,0
248,248,,0
249,249,,0
250,250,,0
254,254,,0
259,259,,0
260,260,,0
275,275,,0
285,285,,0
289,289,,0
302,302,,0
313,313,,0
322,322,,0
336,336,,0
341,341,,0
342,342,,0
351,351,,0
379,379,,0
390,390,,0
393,393,,0
403,403,,0
413,413,,0
415,415,,0
418,418,,0
438,438,,0
439,439,,0
444,444,,0
447,447,,0
452,452,,0
476,476,,0
486,486,,0
2,2,,0
4,4,,0
3,3,,1
5,5,,1
17,17,,1
19,19,,1
24,24,,1
32,32,,1
44,44,,1
47,47,,1
52,52,,1
57,57,,1
59,59,,1
62,62,,1
67,67,,1
78,78,,1
80,80,,1
81,81,,1
82,82,,1
102,102,,1
112,112,,1
119,119,,1
133,133,,1
151,151,,1
160,160,,1
164,164,,1
171,171,,1
183,183,,1
189,189,,1
192,192,,1
196,196,,1
202,202,,1
207,207,,1
214,214,,1
216,216,,1
238,238,,1
239,239,,1
256,256,,1
264,264,,1
265,265,,1
280,280,,1
282,282,,1
293,293,,1
305,305,,1
309,309,,1
326,326,,1
331,331,,1
348,348,,1
352,352,,1
362,362,,1
366,366,,1
368,368,,1
396,396,,1
408,408,,1
419,419,,1
426,426,,1
428,428,,1
440,440,,1
441,441,,1
450,450,,1
458,458,,1
468,468,,1
488,488,,1
193,193,,1
6,6,,2
14,14,,5
46,46,,2
66,66,,2
111,111,,2
162,162,,2
203,203,,2
236,236,,2
333,333,,2
7,7,,3
40,40,,3
170,170,,0
417,417,,0
10,10,,4
11,11,,4
15,15,,4
38,38,,4
169,169,,4
235,235,,1
407,407,,4
490,490,,4
12,12,,0
13,13,,0
16,16,,0
18,18,,0
26,26,,0
27,27,,0
30,30,,0
31,31,,0
36,36,,0
39,39,,0
69,69,,0
72,72,,0
73,73,,0
79,79,,0
90,90,,0
97,97,,0
108,108,,0
113,113,,0
120,120,,0
125,125,,0
131,131,,0
136,136,,0
141,141,,0
158,158,,0
176,176,,0
187,187,,0
191,191,,0
204,204,,0
206,206,,0
215,215,,0
273,273,,0
294,294,,0
297,297,,0
303,303,,0
311,311,,0
338,338,,0
353,353,,0
355,355,,0
356,356,,0
371,371,,0
380,380,,0
395,395,,0
432,432,,0
448,448,,0
453,453,,0
461,461,,0
469,469,,0
482,482,,0
157,157,,0
251,251,,5
34,34,,5
70,70,,5
121,121,,1
140,140,,5
156,156,,5
168,168,,5
173,173,,5
175,175,,5
244,244,,1
246,246,,5
261,261,,5
263,263,,5
266,266,,5
376,376,,5
404,404,,5
405,405,,5
416,416,,5
425,425,,5
429,429,,5
465,465,,5
292,292,,0
42,42,,1
53,53,,1
71,71,,1
184,184,,1
188,188,,1
212,212,,1
220,220,,1
240,240,,1
252,252,,1
295,295,,1
323,323,,1
325,325,,1
344,344,,1
358,358,,1
373,373,,1
374,374,,1
400,400,,1
411,411,,1
443,443,,1
454,454,,1
481,481,,1
312,312,,0
178,178,,0
307,307,,0
330,330,,0
23,23,,6
43,43,,6
56,56,,6
85,85,,6
103,103,,6
147,147,,6
152,152,,6
154,154,,6
167,167,,0
229,229,,6
262,262,,6
284,284,,6
310,310,,6
334,334,,6
343,343,,6
365,365,,6
378,378,,6
406,406,,6
410,410,,6
414,414,,6
421,421,,6
430,430,,6
477,477,,6
487,487,,0
28,28,,1
55,55,,1
159,159,,1
29,29,,7
35,35,,7
226,226,,7
327,327,,7
339,339,,7
375,375,,7
491,491,,7
61,61,,1
386,386,,1
473,473,,1
33,33,,9
48,48,,9
315,315,,9
377,377,,9
382,382,,9
384,384,,9
471,471,,9
41,41,,5
370,370,,5
135,135,,7
258,258,,7
268,268,,7
431,431,,7
435,435,,7
296,296,,0
328,328,,5
467,467,,5
399,399,,1
274,274,,1
227,227,,0
389,389,,0
277,277,,2
95,95,,9
255,255,,0
51,51,,8
63,63,,8
166,166,,16
149,149,,7
272,272,,0
392,392,,0
321,321,,1
60,60,,7
86,86,,7
64,64,,7
75,75,,7
84,84,,7
195,195,,7
201,201,,7
213,213,,7
222,222,,7
230,230,,7
286,286,,7
320,320,,7
347,347,,7
367,367,,7
385,385,,7
459,459,,7
463,463,,7
470,470,,7
480,480,,7
65,65,,1
74,74,,16
143,143,,16
245,245,,16
77,77,,7
186,186,,7
205,205,,7
269,269,,7
308,308,,7
314,314,,7
332,332,,7
340,340,,7
345,345,,7
349,349,,7
350,350,,7
369,369,,7
372,372,,7
424,424,,7
427,427,,7
462,462,,7
464,464,,7
466,466,,7
484,484,,7
76,76,,0
298,298,,7
423,423,,7
354,354,,0
360,360,,0
329,329,,9
114,114,,9
105,105,,9
299,299,,9
388,388,,9
161,161,,7
118,118,,13
182,182,,13
123,123,,7
208,208,,7
211,211,,7
126,126,,10
337,337,,10
127,127,,12
209,209,,12
224,224,,12
237,237,,12
324,324,,12
129,129,,14
210,210,,14
130,130,,11
190,190,,11
287,287,,7
364,364,,7
401,401,,7
442,442,,7
139,139,,7
144,144,,12
243,243,,12
165,165,,13
279,279,,13
300,300,,13
357,357,,13
181,181,,14
301,301,,14
317,317,,13
383,383,,7
489,489,,0
198,198,,15
281,281,,15
219,219,,14
291,291,,14
456,456,,14
335,335,,7
241,241,,13
316,316,,13
306,306,,16
474,474,,16
457,457,,0
267,267,,7
359,359,,7
485,485,,4
288,288,,12
363,363,,14
437,437,,9
436,436,,2
361,361,,17
455,455,,17
422,422,,5
449,449,,7
475,475,,6
434,434,,18
478,478,,18
479,479,,16
