Id,Label,timeset,modularity_class,13_nodes_lable,node_size,All_class,Bone_class,Liver_class
0,0,,0,,3,0,0,4
1,1,,0,,2,0,0,4
2,2,,4,,1,1,0,0
3,3,,0,,1,1,1,0
4,4,,0,,1,1,0,0
5,5,,0,,1,1,1,0
6,6,,1,,1,1,2,0
7,7,,4,,1,1,3,0
8,8,,0,,1,1,-1,0
9,9,,0,,1,0,0,4
10,10,,3,,1,1,4,0
11,11,,0,,1,1,4,0
12,12,,0,,1,0,0,4
13,13,,0,,1,0,0,4
14,14,,0,,1,1,5,0
15,15,,3,,1,1,4,0
16,16,,0,,1,0,0,4
17,17,,0,,1,1,1,0
18,18,,2,0,4,0,0,6
19,19,,0,,1,1,1,0
21,21,,0,,2,0,0,4
23,23,,4,,1,2,6,4
24,24,,0,,1,1,1,0
25,25,,8,,1,5,-1,6
26,26,,0,,3,0,0,0
27,27,,0,,1,0,0,2
29,29,,4,,2,3,7,4
30,30,,0,,1,0,0,2
31,31,,0,,2,0,0,4
32,32,,0,,1,1,1,0
33,33,,4,,1,4,9,4
35,35,,1,1,4,3,7,6
36,36,,0,,2,0,0,4
38,38,,4,,2,1,4,0
39,39,,0,,1,0,0,2
40,40,,0,,1,1,3,0
41,41,,2,,1,2,5,6
42,42,,0,,1,1,1,0
43,43,,4,,1,2,6,6
44,44,,0,,1,1,1,0
45,45,,0,2,4,1,0,0
46,46,,5,,1,3,2,6
47,47,,0,,1,1,1,0
48,48,,2,,1,4,9,4
49,49,,0,,1,0,0,4
50,50,,6,,1,1,-1,0
51,51,,8,,1,5,8,6
52,52,,0,,1,1,1,0
54,54,,4,,3,0,0,4
55,55,,0,,1,1,1,0
57,57,,0,,1,1,1,0
59,59,,0,,1,1,1,0
60,60,,4,,1,0,7,0
61,61,,0,,1,1,1,0
62,62,,0,,1,1,1,0
63,63,,8,,2,5,8,6
64,64,,0,,2,3,7,5
65,65,,3,,1,1,1,0
66,66,,5,,1,3,2,6
67,67,,0,,1,1,1,0
68,68,,4,,1,0,0,4
69,69,,4,,1,2,0,6
70,70,,0,,1,1,5,0
71,71,,0,,1,1,1,0
72,72,,0,,1,1,0,0
73,73,,4,,1,0,0,4
74,74,,0,,1,1,16,0
75,75,,4,,2,3,7,4
76,76,,4,,1,5,0,6
77,77,,4,,3,3,7,6
78,78,,0,,1,1,1,0
79,79,,0,,1,0,0,6
80,80,,0,,1,1,1,0
81,81,,0,,1,1,1,0
82,82,,0,,1,1,1,0
83,83,,4,,1,0,0,4
84,84,,0,,1,1,7,0
86,86,,4,,1,1,7,0
87,87,,4,,1,0,0,4
88,88,,4,,2,0,0,4
89,89,,0,,1,0,0,4
90,90,,0,,2,0,0,4
91,91,,2,,1,0,0,6
92,92,,7,,1,1,-1,0
93,93,,4,,1,0,0,4
94,94,,0,,1,0,0,6
95,95,,4,,1,4,9,2
96,96,,4,,1,0,0,4
97,97,,4,,1,0,0,4
98,98,,4,,1,0,0,4
99,99,,0,,2,0,0,4
100,100,,0,,1,0,0,4
102,102,,0,,1,1,1,0
103,103,,0,,1,1,6,0
104,104,,4,,1,0,0,4
105,105,,4,4,4,4,9,4
107,107,,4,,2,0,0,4
108,108,,4,,2,1,0,0
